Date_time|Bet|Win|Winning_text|Cards_played|Potential_win|Potential_winning_text|Ten_cards
09/03/2021, 00:38:22|5|0||['diamonds_queen', 'diamonds_10', 'diamonds_ace', 'spades_9', 'hearts_5']|10|Two pair|['diamonds_queen', 'clubs_10', 'diamonds_ace', 'diamonds_9', 'hearts_7', 'diamonds_10', 'spades_9', 'hearts_5', 'clubs_6', 'hearts_3']
09/03/2021, 00:38:31|5|0||['spades_ace', 'hearts_jack', 'diamonds_king', 'clubs_2', 'spades_queen']|10|Two pair|['diamonds_10', 'hearts_jack', 'clubs_9', 'diamonds_2', 'spades_queen', 'spades_ace', 'diamonds_king', 'clubs_2', 'hearts_10', 'spades_4']
09/03/2021, 00:38:39|5|15|Three of a kind|['clubs_queen', 'clubs_jack', 'hearts_2', 'diamonds_queen', 'spades_queen']|125|Four of a kind|['clubs_queen', 'hearts_9', 'diamonds_3', 'diamonds_7', 'spades_5', 'clubs_jack', 'hearts_2', 'diamonds_queen', 'spades_queen', 'hearts_queen']
09/03/2021, 00:38:52|5|0||['diamonds_7', 'spades_7', 'diamonds_5', 'hearts_4', 'diamonds_6']|30|Flush|['diamonds_7', 'diamonds_king', 'diamonds_5', 'hearts_4', 'diamonds_6', 'spades_7', 'spades_4', 'diamonds_10', 'spades_queen', 'spades_king']
09/03/2021, 00:39:00|5|5|Pair Queen's|['hearts_3', 'clubs_queen', 'spades_9', 'hearts_king', 'hearts_queen']|10|Two pair|['diamonds_2', 'clubs_queen', 'clubs_8', 'hearts_king', 'diamonds_4', 'hearts_3', 'spades_9', 'hearts_queen', 'clubs_2', 'clubs_ace']
09/03/2021, 00:39:10|5|0||['spades_5', 'diamonds_3', 'diamonds_2', 'diamonds_5', 'clubs_9']|10|Two pair|['spades_5', 'spades_3', 'clubs_7', 'diamonds_5', 'clubs_4', 'diamonds_3', 'diamonds_2', 'clubs_9', 'diamonds_6', 'clubs_queen']
09/03/2021, 00:39:18|5|5|Pair Queen's|['clubs_queen', 'diamonds_8', 'spades_queen', 'spades_king', 'spades_3']|20|Straight|['clubs_9', 'hearts_2', 'spades_queen', 'spades_king', 'hearts_3', 'clubs_queen', 'diamonds_8', 'spades_3', 'spades_2', 'clubs_6']
09/03/2021, 00:39:26|5|0||['clubs_queen', 'clubs_2', 'clubs_5', 'spades_2', 'diamonds_10']|10|Two pair|['spades_4', 'clubs_2', 'spades_ace', 'spades_2', 'clubs_8', 'clubs_queen', 'clubs_5', 'diamonds_10', 'diamonds_4', 'hearts_7']
09/03/2021, 00:39:35|5|0||['clubs_4', 'hearts_8', 'clubs_7', 'clubs_8', 'clubs_10']|30|Flush|['hearts_10', 'hearts_8', 'clubs_3', 'clubs_8', 'spades_jack', 'clubs_4', 'clubs_7', 'clubs_10', 'spades_5', 'hearts_3']
09/03/2021, 14:07:51|5|5|Pair Ace's|['hearts_6', 'hearts_ace', 'diamonds_ace', 'diamonds_king', 'spades_9']|10|Two pair|['hearts_7', 'clubs_10', 'diamonds_ace', 'clubs_6', 'spades_2', 'hearts_6', 'hearts_ace', 'diamonds_king', 'spades_9', 'clubs_3']
